fiscal_year,fund,department,class,total
2026,General Fund,Planning and Development,Purchase of Services,12093786
2026,General Fund,Planning and Development,"Materials, Supplies & Equip.",630050
2026,General Fund,Planning and Development,"Contrib., Indemnities & Taxes",7000000
2026,General Fund,Police,Personal Services,834940051
2026,General Fund,Police,Purchase of Services,20087223
2026,General Fund,Police,"Materials, Supplies & Equip.",18467546
2026,General Fund,Police,"Contrib., Indemnities & Taxes",0
2026,General Fund,Prisons,Personal Services,179402433
2026,General Fund,Prisons,Purchase of Services,122561746
2026,General Fund,Prisons,"Materials, Supplies & Equip.",6580008
2026,General Fund,Prisons,"Contrib., Indemnities & Taxes",1701757
2026,General Fund,Procurement,Personal Services,3293773
2026,General Fund,Procurement,Purchase of Services,3563948
2026,General Fund,Procurement,"Materials, Supplies & Equip.",46868
2026,General Fund,Public Health,Personal Services,72442924
2026,General Fund,Public Health,Purchase of Services,70717074
2026,General Fund,Public Health,"Materials, Supplies & Equip.",8324326
2026,General Fund,Public Health,"Contrib., Indemnities & Taxes",0
2026,General Fund,Public Health,Payments to Other Funds,10904680
2026,General Fund,Public Property,Personal Services,9965810
2026,General Fund,Public Property,Purchase of Services,50398367
2026,General Fund,Public Property,"Materials, Supplies & Equip.",1854966
2026,General Fund,Public Property,"Contrib., Indemnities & Taxes",0
2026,General Fund,Public Property,Payments to Other Funds,40015035
2026,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,134989000
2026,General Fund,Public Property-Space Rentals,Purchase of Services,57736320
2026,General Fund,Public Property-Utilities,Purchase of Services,33578003
2026,General Fund,Records,Personal Services,3793693
2026,General Fund,Records,Purchase of Services,809122
2026,General Fund,Records,"Materials, Supplies & Equip.",143758
2026,General Fund,Register of Wills,Personal Services,5393539
2026,General Fund,Register of Wills,Purchase of Services,671959
2026,General Fund,Register of Wills,"Materials, Supplies & Equip.",152596
2026,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",0
2026,General Fund,Revenue,Personal Services,23679845
2026,General Fund,Revenue,Purchase of Services,5064649
2026,General Fund,Revenue,"Materials, Supplies & Equip.",2069045
2026,General Fund,Sanitation-Disposal,Purchase of Services,63238164
2026,General Fund,Sanitation,Personal Services,107134671
2026,General Fund,Sanitation,Purchase of Services,3821616
2026,General Fund,Sanitation,"Materials, Supplies & Equip.",5766632
2026,General Fund,Sanitation,"Contrib., Indemnities & Taxes",53171
2026,General Fund,Sheriff,Personal Services,31550600
2026,General Fund,Sheriff,Purchase of Services,2647080
2026,General Fund,Sheriff,"Materials, Supplies & Equip.",1287133
2026,General Fund,Sheriff,"Contrib., Indemnities & Taxes",0
2026,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,173276984
2026,General Fund,Sinking Fund Commission (Debt Service),Debt Service,231495486
