fiscal_year,fund,department,tag_peoples_budget,class,total
2027,General Fund,Police,Police,"Materials, Supplies & Equip.",16650557
2027,General Fund,Police,Police,"Contrib., Indemnities & Taxes",0
2027,General Fund,Prisons,Courts & the Justice System,Personal Services,180619728
2027,General Fund,Prisons,Courts & the Justice System,Purchase of Services,124186746
2027,General Fund,Prisons,Courts & the Justice System,"Materials, Supplies & Equip.",11180008
2027,General Fund,Prisons,Courts & the Justice System,"Contrib., Indemnities & Taxes",1701757
2027,General Fund,Procurement,Government Operations,Personal Services,3452131
2027,General Fund,Procurement,Government Operations,Purchase of Services,4413948
2027,General Fund,Procurement,Government Operations,"Materials, Supplies & Equip.",46868
2027,General Fund,Public Health,Public Health Centers,Personal Services,80339658
2027,General Fund,Public Health,Public Health Centers,Purchase of Services,68798459
2027,General Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",8436655
2027,General Fund,Public Health,Public Health Centers,"Contrib., Indemnities & Taxes",0
2027,General Fund,Public Health,Public Health Centers,Payments to Other Funds,923404
2027,General Fund,Public Property,Government Operations,Personal Services,10472281
2027,General Fund,Public Property,Government Operations,Purchase of Services,51276845
2027,General Fund,Public Property,Government Operations,"Materials, Supplies & Equip.",1604966
2027,General Fund,Public Property,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Public Property,Government Operations,Payments to Other Funds,44085905
2027,General Fund,Public Property - SEPTA Subsidy,Government Operations,Purchase of Services,134989000
2027,General Fund,Public Property - Space Rentals,Government Operations,Purchase of Services,63130838
2027,General Fund,Public Property - Utilities,Government Operations,Purchase of Services,35959093
2027,General Fund,Records,Government Operations,Personal Services,4035760
2027,General Fund,Records,Government Operations,Purchase of Services,704122
2027,General Fund,Records,Government Operations,"Materials, Supplies & Equip.",143758
2027,General Fund,Register of Wills,Government Operations,Personal Services,5454916
2027,General Fund,Register of Wills,Government Operations,Purchase of Services,421959
2027,General Fund,Register of Wills,Government Operations,"Materials, Supplies & Equip.",152596
2027,General Fund,Register of Wills,Government Operations,"Contrib., Indemnities & Taxes",0
2027,General Fund,Revenue,Government Operations,Personal Services,25083695
2027,General Fund,Revenue,Government Operations,Purchase of Services,6627649
2027,General Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",1290545
2027,General Fund,Sanitation - Disposal,Government Operations,Purchase of Services,65275823
2027,General Fund,Sanitation,Trash & Sanitation,Personal Services,115837640
2027,General Fund,Sanitation,Trash & Sanitation,Purchase of Services,3834816
2027,General Fund,Sanitation,Trash & Sanitation,"Materials, Supplies & Equip.",5039632
2027,General Fund,Sanitation,Trash & Sanitation,"Contrib., Indemnities & Taxes",53171
2027,General Fund,Sheriff,Courts & the Justice System,Personal Services,31723477
2027,General Fund,Sheriff,Courts & the Justice System,Purchase of Services,2647080
2027,General Fund,Sheriff,Courts & the Justice System,"Materials, Supplies & Equip.",1287133
2027,General Fund,Sheriff,Courts & the Justice System,"Contrib., Indemnities & Taxes",0
2027,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Purchase of Services,189668861
2027,General Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,241195016
2027,Water Fund,Office of Innovation and Technology,Government Operations,Personal Services,12580161
2027,Water Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,31758615
2027,Water Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",2196000
2027,Water Fund,Managing Director,Government Operations,Personal Services,138550
2027,Water Fund,Fleet Services,Government Operations,Personal Services,4110683
2027,Water Fund,Fleet Services,Government Operations,Purchase of Services,1489000
2027,Water Fund,Fleet Services,Government Operations,"Materials, Supplies & Equip.",4894553
2027,Water Fund,Public Property,Government Operations,Purchase of Services,5494744
2027,Water Fund,Water,Government Operations,Personal Services,206857617
2027,Water Fund,Water,Government Operations,Purchase of Services,235599788
2027,Water Fund,Water,Government Operations,"Materials, Supplies & Equip.",105417606
2027,Water Fund,Water,Government Operations,"Contrib., Indemnities & Taxes",510000
2027,Water Fund,Water,Government Operations,Payments to Other Funds,71500000
2027,Water Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,159665962
2027,Water Fund,Finance-Indemnities,Government Operations,"Contrib., Indemnities & Taxes",7000000
2027,Water Fund,Revenue,Government Operations,Personal Services,14946515
2027,Water Fund,Revenue,Government Operations,Purchase of Services,4847000
2027,Water Fund,Revenue,Government Operations,"Materials, Supplies & Equip.",1609000
2027,Water Fund,Sinking Fund Commission (Debt Service),Government Operations,Debt Service,290221887
2027,Water Fund,Procurement,Government Operations,Personal Services,104004
2027,Water Fund,City Treasurer,Government Operations,Purchase of Services,2650000
2027,Water Fund,Law,Government Operations,Personal Services,3927379
2027,Water Fund,Law,Government Operations,Purchase of Services,800000
2027,Water Fund,Law,Government Operations,"Materials, Supplies & Equip.",51050
2027,Water Fund,Office of Sustainability,Government Operations,Personal Services,135874
2027,Water Fund,Office of Sustainability,Government Operations,Purchase of Services,47000
2027,Water Fund,Water,Government Operations,Personal Services,183312
2027,Water Fund,Water,Government Operations,Purchase of Services,745700
2027,Water Residual Fund,Water,Government Operations,Purchase of Services,8000000
2027,Water Residual Fund,Water,Government Operations,"Materials, Supplies & Equip.",8000000
2027,Water Residual Fund,Water,Government Operations,Payments to Other Funds,16994000
2027,County Liquid Fuels Tax Fund,Streets,Streets,Personal Services,166884
2027,County Liquid Fuels Tax Fund,Streets,Streets,Purchase of Services,11455446
2027,County Liquid Fuels Tax Fund,Streets,Streets,"Materials, Supplies & Equip.",400000
2027,County Liquid Fuels Tax Fund,Streets,Streets,Payments to Other Funds,18670
2027,Special Gasoline Tax Fund,Streets,Streets,Personal Services,11465985
2027,Special Gasoline Tax Fund,Streets,Streets,Purchase of Services,13548527
2027,Special Gasoline Tax Fund,Streets,Streets,"Materials, Supplies & Equip.",11675000
2027,Special Gasoline Tax Fund,Streets,Streets,Payments to Other Funds,20000
2027,Special Gasoline Tax Fund,Sanitation,Trash & Sanitation,Personal Services,2962488
2027,Special Gasoline Tax Fund,Sanitation,Trash & Sanitation,Payments to Other Funds,10000
2027,Special Gasoline Tax Fund,Finance-Employee Benefits,Government Operations,Pers. Svcs.-Emp.Benefits,1000000
2027,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,533122
2027,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Pers. Svcs.-Emp.Benefits,177171
2027,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Purchase of Services,1523516707
2027,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Payments to Other Funds,100000
2027,Hotel Room Rental Tax Fund,Commerce,Commercial Corridors & Small Businesses,"Contrib., Indemnities & Taxes",97200000
2027,Hotel Room Rental Tax Fund,Office of Homeless Services,Housing & Homeless Services,Personal Services,583403
2027,Hotel Room Rental Tax Fund,Office of Homeless Services,Housing & Homeless Services,Purchase of Services,19445597
2027,Grants Revenue Fund,City Council,Government Operations,Personal Services,100000
2027,Grants Revenue Fund,City Council,Government Operations,Purchase of Services,75000
2027,Grants Revenue Fund,City Council,Government Operations,"Materials, Supplies & Equip.",30100
2027,Grants Revenue Fund,City Council,Government Operations,"Contrib., Indemnities & Taxes",100
2027,Grants Revenue Fund,City Council,Government Operations,Payments to Other Funds,100
2027,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Personal Services,350000
2027,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Purchase of Services,3283312
2027,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,"Materials, Supplies & Equip.",814194
2027,Grants Revenue Fund,Office of Innovation and Technology,Government Operations,Payments to Other Funds,45361775
2027,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Personal Services,5164193
2027,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Pers. Svcs.-Emp.Benefits,2035962
2027,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,Purchase of Services,33165953
2027,Grants Revenue Fund,Office of Community Empowerment and Opportunity,Immigration Services,"Materials, Supplies & Equip.",93685
2027,Grants Revenue Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,Personal Services,500000
2027,Grants Revenue Fund,Office of Arts and Culture and the Creative Economy,Arts & Culture,Purchase of Services,2000000
2027,Grants Revenue Fund,Office of Education,Schools & Early Childhood Education,Personal Services,2042334
2027,Grants Revenue Fund,Office of Education,Schools & Early Childhood Education,Pers. Svcs.-Emp.Benefits,467529
2027,Grants Revenue Fund,Office of Education,Schools & Early Childhood Education,Purchase of Services,587246
2027,Grants Revenue Fund,Office of Education,Schools & Early Childhood Education,"Materials, Supplies & Equip.",163350
2027,Grants Revenue Fund,Managing Director,Government Operations,Personal Services,47330000
2027,Grants Revenue Fund,Managing Director,Government Operations,Pers. Svcs.-Emp.Benefits,4000
2027,Grants Revenue Fund,Managing Director,Government Operations,Purchase of Services,83665000
2027,Grants Revenue Fund,Managing Director,Government Operations,"Materials, Supplies & Equip.",10741500
2027,Grants Revenue Fund,Police,Police,Personal Services,13245234
2027,Grants Revenue Fund,Police,Police,Pers. Svcs.-Emp.Benefits,311005
2027,Grants Revenue Fund,Police,Police,Purchase of Services,15633899
2027,Grants Revenue Fund,Police,Police,"Materials, Supplies & Equip.",11416701
2027,Grants Revenue Fund,Streets,Streets,Personal Services,745200
2027,Grants Revenue Fund,Streets,Streets,Purchase of Services,62215000
2027,Grants Revenue Fund,Fire,Emergency Services,Personal Services,16912590
2027,Grants Revenue Fund,Fire,Emergency Services,Pers. Svcs.-Emp.Benefits,2636559
2027,Grants Revenue Fund,Fire,Emergency Services,Purchase of Services,5240917
2027,Grants Revenue Fund,Fire,Emergency Services,"Materials, Supplies & Equip.",6161113
2027,Grants Revenue Fund,Public Health,Public Health Centers,Personal Services,19827365
2027,Grants Revenue Fund,Public Health,Public Health Centers,Pers. Svcs.-Emp.Benefits,6596614
2027,Grants Revenue Fund,Public Health,Public Health Centers,Purchase of Services,169769342
2027,Grants Revenue Fund,Public Health,Public Health Centers,"Materials, Supplies & Equip.",25466165
2027,Grants Revenue Fund,Public Health,Public Health Centers,Payments to Other Funds,1171752
2027,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Personal Services,28361325
2027,Grants Revenue Fund,Office of Behavioral Health and Intellectual disAbility,Mental Health & Substance Use Services,Pers. Svcs.-Emp.Benefits,13439997
