fiscal_year,fund,department,class,total
2025,General Fund,Procurement,Personal Services,2735358
2025,General Fund,Procurement,Purchase of Services,4123426
2025,General Fund,Procurement,"Materials, Supplies & Equip.",14568
2025,General Fund,Public Health,Personal Services,72458296
2025,General Fund,Public Health,Purchase of Services,64283638
2025,General Fund,Public Health,"Materials, Supplies & Equip.",8618766
2025,General Fund,Public Health,"Contrib., Indemnities & Taxes",4000012
2025,General Fund,Public Health,Payments to Other Funds,7783959
2025,General Fund,Public Property,Personal Services,8617062
2025,General Fund,Public Property,Purchase of Services,50004257
2025,General Fund,Public Property,"Materials, Supplies & Equip.",4077034
2025,General Fund,Public Property,"Contrib., Indemnities & Taxes",194500
2025,General Fund,Public Property,Payments to Other Funds,31414487
2025,General Fund,Public Property-SEPTA Subsidy,Purchase of Services,133291440
2025,General Fund,Public Property-Space Rentals,Purchase of Services,39570856
2025,General Fund,Public Property-Utilities,Purchase of Services,27148234
2025,General Fund,Records,Personal Services,3620164
2025,General Fund,Records,Purchase of Services,748500
2025,General Fund,Records,"Materials, Supplies & Equip.",141207
2025,General Fund,Register of Wills,Personal Services,5036216
2025,General Fund,Register of Wills,Purchase of Services,421257
2025,General Fund,Register of Wills,"Materials, Supplies & Equip.",151781
2025,General Fund,Register of Wills,"Contrib., Indemnities & Taxes",275000
2025,General Fund,Revenue,Personal Services,24127629
2025,General Fund,Revenue,Purchase of Services,5947686
2025,General Fund,Revenue,"Materials, Supplies & Equip.",1852659
2025,General Fund,Sanitation-Disposal,Purchase of Services,60566484
2025,General Fund,Sanitation,Personal Services,100316451
2025,General Fund,Sanitation,Purchase of Services,6122064
2025,General Fund,Sanitation,"Materials, Supplies & Equip.",7235636
2025,General Fund,Sanitation,"Contrib., Indemnities & Taxes",8414710
2025,General Fund,Sheriff,Personal Services,32003728
2025,General Fund,Sheriff,Purchase of Services,2932641
2025,General Fund,Sheriff,"Materials, Supplies & Equip.",451887
2025,General Fund,Sheriff,"Contrib., Indemnities & Taxes",343355
2025,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,117667281
2025,General Fund,Sinking Fund Commission (Debt Service),Debt Service,195090263
